"""phen_pois"" ""cofactor"" ""phylo"""
"1 7.87028302904218 ""sp_1"""
"0 3.46905293408781 ""sp_2"""
"1 2.54787739366293 ""sp_3"""
"14 18.2286628056318 ""sp_4"""
"1 2.53028055187315 ""sp_5"""
"1 0.51455594599247 ""sp_6"""
"18 19.8668561177328 ""sp_7"""
"0 10.2536125574261 ""sp_8"""
"0 14.9731568619609 ""sp_9"""
"8 17.9374387208372 ""sp_10"""
"1 3.23564750142395 ""sp_11"""
"1 4.25279097631574 ""sp_12"""
"0 2.92220457457006 ""sp_13"""
"0 1.61896539852023 ""sp_14"""
"3 13.0925463140011 ""sp_15"""
"0 5.8281384408474 ""sp_16"""
"4 10.9566866233945 ""sp_17"""
"1 9.46091731078923 ""sp_18"""
"1 10.6700000725687 ""sp_19"""
"0 2.00643964577466 ""sp_20"""
"1 9.08781947568059 ""sp_21"""
"11 17.9819278931245 ""sp_22"""
"1 8.82760248612612 ""sp_23"""
"12 17.8168223798275 ""sp_24"""
"0 9.11590400151908 ""sp_25"""
"6 13.6075812391937 ""sp_26"""
"13 19.6307200938463 ""sp_27"""
"0 1.95862791966647 ""sp_28"""
"4 12.0503573399037 ""sp_29"""
"3 12.2442053910345 ""sp_30"""
"7 14.9345963820815 ""sp_31"""
"8 15.8232712093741 ""sp_32"""
"15 17.0165579207242 ""sp_33"""
"8 11.6763724898919 ""sp_34"""
"2 1.0804709745571 ""sp_35"""
"0 6.43376909196377 ""sp_36"""
"0 1.79010709747672 ""sp_37"""
"14 19.0130681172013 ""sp_38"""
"1 7.43294113315642 ""sp_39"""
"0 5.03316869959235 ""sp_40"""
"1 10.2835537539795 ""sp_41"""
"10 14.5599096501246 ""sp_42"""
"0 10.9937429893762 ""sp_43"""
"9 17.9595694737509 ""sp_44"""
"1 13.7781675904989 ""sp_45"""
"0 9.65458589140326 ""sp_46"""
"0 7.96876311302185 ""sp_47"""
"0 11.822388456203 ""sp_48"""
"0 1.17342579178512 ""sp_49"""
"6 15.3492880659178 ""sp_50"""
"2 12.383923525922 ""sp_51"""
"2 7.13269806932658 ""sp_52"""
"19 18.4212206443772 ""sp_53"""
"3 9.10423366352916 ""sp_54"""
"0 4.50475075282156 ""sp_55"""
"8 17.5070152105764 ""sp_56"""
"1 14.0715354448184 ""sp_57"""
"1 8.54765433818102 ""sp_58"""
"0 0.602433918975294 ""sp_59"""
"1 12.9115081205964 ""sp_60"""
"0 2.16470542829484 ""sp_61"""
"3 10.8175301225856 ""sp_62"""
"0 13.9088897733018 ""sp_63"""
"1 13.4087270870805 ""sp_64"""
"10 17.4300276767462 ""sp_65"""
"2 12.9268132383004 ""sp_66"""
"5 15.0284132361412 ""sp_67"""
"3 16.39080026187 ""sp_68"""
"2 13.1584308855236 ""sp_69"""
"0 6.11105283722281 ""sp_70"""
"0 6.71635756269097 ""sp_71"""
"14 17.8809959255159 ""sp_72"""
"0 0.963065698742867 ""sp_73"""
"14 19.6639204397798 ""sp_74"""
"0 9.35570646543056 ""sp_75"""
"0 3.41497595887631 ""sp_76"""
"0 4.19924180954695 ""sp_77"""
"1 8.70385596994311 ""sp_78"""
"0 4.02473593130708 ""sp_79"""
"5 15.524102547206 ""sp_80"""
"2 8.24879810214043 ""sp_81"""
"6 13.4653527382761 ""sp_82"""
"2 15.2973749814555 ""sp_83"""
"19 19.7170301293954 ""sp_84"""
"0 0.0597144290804863 ""sp_85"""
"2 9.51565641909838 ""sp_86"""
"0 4.2223764769733 ""sp_87"""
"3 12.21704242751 ""sp_88"""
"14 17.6155198831111 ""sp_89"""
"6 16.2743572192267 ""sp_90"""
"3 13.3777397451922 ""sp_91"""
"11 15.0837030215189 ""sp_92"""
"0 0.88664791546762 ""sp_93"""
"12 18.1392788793892 ""sp_94"""
"1 10.3573824511841 ""sp_95"""
"8 15.6129121407866 ""sp_96"""
"0 7.05775657203048 ""sp_97"""
"0 9.83460870105773 ""sp_98"""
"0 0.814184607006609 ""sp_99"""
"0 1.40055054333061 ""sp_100"""
"1 1.37567003723234 ""sp_101"""
"2 15.6567617040128 ""sp_102"""
"0 5.47710913233459 ""sp_103"""
"4 17.7315682778135 ""sp_104"""
"7 12.737676021643 ""sp_105"""
"0 3.87756805401295 ""sp_106"""
"18 19.6574379131198 ""sp_107"""
"7 18.0909407651052 ""sp_108"""
"1 6.32461491040885 ""sp_109"""
"0 5.24901015684009 ""sp_110"""
"1 3.93332909327 ""sp_111"""
"4 12.2523138299584 ""sp_112"""
"4 14.765341412276 ""sp_113"""
"3 14.0667329635471 ""sp_114"""
"4 14.63642927818 ""sp_115"""
"0 0.982736335135996 ""sp_116"""
"7 11.8094338616356 ""sp_117"""
"3 15.0167428283021 ""sp_118"""
"0 2.93460626155138 ""sp_119"""
"2 14.4625549856573 ""sp_120"""
"1 3.58197431080043 ""sp_121"""
"0 5.93845078255981 ""sp_122"""
"4 15.0166683224961 ""sp_123"""
"1 8.66543678566813 ""sp_124"""
"11 18.1633659219369 ""sp_125"""
"3 3.00229831133038 ""sp_126"""
"0 5.18903369084001 ""sp_127"""
"0 0.82342594396323 ""sp_128"""
"16 19.4019915862009 ""sp_129"""
"18 17.7708528237417 ""sp_130"""
"1 9.9611847428605 ""sp_131"""
"1 6.23705577570945 ""sp_132"""
"6 15.7574088033289 ""sp_133"""
"4 12.6087644603103 ""sp_134"""
"0 11.5594818815589 ""sp_135"""
"3 11.3555123051628 ""sp_136"""
"9 15.8111122902483 ""sp_137"""
"0 3.33092326298356 ""sp_138"""
"1 1.0151651641354 ""sp_139"""
"1 8.53682615794241 ""sp_140"""
"4 5.40029122959822 ""sp_141"""
"0 1.62691679783165 ""sp_142"""
"4 14.531945604831 ""sp_143"""
"0 4.04087916947901 ""sp_144"""
"1 9.3971361219883 ""sp_145"""
"6 12.4490794586018 ""sp_146"""
"5 13.7795139942318 ""sp_147"""
"1 9.37987734097987 ""sp_148"""
"9 18.633303064853 ""sp_149"""
"25 19.9002105696127 ""sp_150"""
"5 14.1992724919692 ""sp_151"""
"16 18.4159356122836 ""sp_152"""
"3 12.5894845789298 ""sp_153"""
"6 10.6530642695725 ""sp_154"""
"2 12.0548351900652 ""sp_155"""
"4 12.3876380128786 ""sp_156"""
"0 1.79911971557885 ""sp_157"""
"0 1.11601918470114 ""sp_158"""
"0 0.371990543790162 ""sp_159"""
"19 18.7914584251121 ""sp_160"""
"3 15.2057593967766 ""sp_161"""
"1 4.21502228826284 ""sp_162"""
"2 10.2678516088054 ""sp_163"""
"2 7.00620380695909 ""sp_164"""
"0 10.4936401126906 ""sp_165"""
"9 16.673849648796 ""sp_166"""
"7 18.0688004475087 ""sp_167"""
"5 12.0953970169649 ""sp_168"""
"25 18.9678255422041 ""sp_169"""
"2 11.0059805773199 ""sp_170"""
"1 9.25403710454702 ""sp_171"""
"1 10.2216057293117 ""sp_172"""
"1 9.86736222635955 ""sp_173"""
"0 2.15197998099029 ""sp_174"""
"2 10.9169692080468 ""sp_175"""
"10 16.7635344574228 ""sp_176"""
"2 7.74032014422119 ""sp_177"""
"5 13.8131712703034 ""sp_178"""
"4 13.2870834320784 ""sp_179"""
"2 12.4060766818002 ""sp_180"""
"0 0.687475530430675 ""sp_181"""
"6 16.6742958500981 ""sp_182"""
"1 11.3340411055833 ""sp_183"""
