"phen" "cofactor" "phylo"
107.06594552882 10.3095880549453 "sp_1"
79.610860656951 9.69050690576008 "sp_2"
116.381864681924 15.0078253254631 "sp_3"
143.287050690702 19.0876728625497 "sp_4"
139.609932559002 15.658404396405 "sp_5"
68.5065718831307 6.00523554989419 "sp_6"
50.0078316250034 -0.230800714292668 "sp_7"
63.3521986867296 1.11835513778279 "sp_8"
46.5783588730238 1.4127465509849 "sp_9"
50.124032289484 2.63952961059002 "sp_10"
128.561769732781 17.8898471127527 "sp_11"
71.0982398919586 7.06317954990092 "sp_12"
90.0762277528164 5.50000301749036 "sp_13"
43.887754833022 5.27381144123924 "sp_14"
140.647767085693 18.1248973527984 "sp_15"
44.48237331109 1.09020303660866 "sp_16"
97.0683514556495 7.61853901693519 "sp_17"
40.3521483055623 0.495784926727377 "sp_18"
59.5637288068796 4.42913267118183 "sp_19"
133.180455493362 16.0444363271215 "sp_20"
146.471271177466 18.788822922407 "sp_21"
103.796682905566 10.4416306039257 "sp_22"
125.872639294148 17.8699622964516 "sp_23"
140.795148364168 16.5155635122177 "sp_24"
111.603732499306 10.7718142846966 "sp_25"
99.3899864275221 12.4730703198257 "sp_26"
67.3557648925829 7.37940205628983 "sp_27"
58.4148867964292 5.71559251396205 "sp_28"
67.836185980268 8.5117050162641 "sp_29"
66.0655468524789 8.04460411326513 "sp_30"
111.63002694324 13.5561680024613 "sp_31"
99.0016591044732 14.6205534473805 "sp_32"
16.7306204684538 2.14122207011172 "sp_33"
54.4397214124625 6.73491595625564 "sp_34"
60.949804447069 2.40083311353013 "sp_35"
31.227649088769 2.59982971319347 "sp_36"
77.0120746096428 9.14103300956729 "sp_37"
90.4478334819782 13.7635931148171 "sp_38"
43.2165587939318 5.14867709999783 "sp_39"
66.0860236667564 8.2388401388078 "sp_40"
56.2909820610818 5.39672998105449 "sp_41"
43.4889154307294 1.06171838270693 "sp_42"
109.393500265693 16.7617458478269 "sp_43"
53.0298230118136 5.62782351743444 "sp_44"
34.5377226630377 1.32669723391983 "sp_45"
97.4806059626614 12.6619827130193 "sp_46"
110.353979230344 16.4630577622228 "sp_47"
36.773687129993 2.52349359048574 "sp_48"
40.0006306251807 3.13340627591116 "sp_49"
80.3571548531468 6.19424298244606 "sp_50"
90.0586805336178 9.74462699104096 "sp_51"
96.4110443406457 7.88925707181005 "sp_52"
49.1090999452634 -0.401249394127361 "sp_53"
131.196816703176 14.7005850280279 "sp_54"
99.5702805387581 10.9544530820453 "sp_55"
68.8322605007013 9.12951588380556 "sp_56"
60.4987485698319 3.9336232283325 "sp_57"
95.9670520932964 11.5048925535722 "sp_58"
67.7026525238388 5.61140977653585 "sp_59"
103.112861131997 16.1856761500808 "sp_60"
82.2575282835985 10.4118161115791 "sp_61"
93.5719382311418 10.0076206553999 "sp_62"
101.986463116226 14.2868286590304 "sp_63"
122.752766608099 18.0053362438707 "sp_64"
31.9633613363313 2.08271006736442 "sp_65"
112.221083226621 17.412626013694 "sp_66"
105.983163098889 17.0686956751606 "sp_67"
111.65876358761 15.5114454654826 "sp_68"
80.9144568076457 8.99495913360742 "sp_69"
53.5351546488279 6.1053696773999 "sp_70"
